Area_Name,Year,Cases_Property_Recovered,Cases_Property_Stolen,Value_of_Property_Recovered,Value_of_Property_Stolen
Jammu & Kashmir,2004,235,1420,8519470,34785380
Jharkhand,2004,220,1419,1208261,10289240
Karnataka,2004,1695,6093,50828582,174253060
Kerala,2004,1126,4359,26572753,151987763
Lakshadweep,2004,0,2,0,2160
Madhya Pradesh,2004,3943,12130,33345035,145505628
Maharashtra,2004,3952,13896,141098005,544644465
Manipur,2004,6,66,851177,2760756
Meghalaya,2004,19,130,245154,1991361
Mizoram,2004,180,250,575000,758220
Nagaland,2004,13,52,140245,1246138
Odisha,2004,1127,2990,13227198,52807227
Puducherry,2004,48,86,1419510,2828010
Punjab,2004,666,1766,16682669,91624075
Rajasthan,2004,1588,5619,39415095,108989033
Sikkim,2004,12,64,397673,1054933
Tamil Nadu,2004,2679,4147,76752113,124839785
Tripura,2004,36,166,1348165,4918835
Uttar Pradesh,2004,972,4192,99202552,173330606
Uttarakhand,2004,100,516,3700267,14665091
West Bengal,2004,129,547,3076728,12198178
Andaman & Nicobar Islands,2005,25,68,705419,3418391
Andhra Pradesh,2005,3578,7894,92930221,240127856
Arunachal Pradesh,2005,56,263,1185696,7275247
Assam,2005,523,2255,7068609,29458429
Bihar,2005,311,3117,3584517,34869204
Chandigarh,2005,105,223,2806616,7108230
Chhattisgarh,2005,1186,3621,11063089,51741764
Dadra & Nagar Haveli,2005,9,25,5162150,6257250
Daman & Diu,2005,5,37,365000,2514680
Delhi,2005,871,2093,8172281,198019747
Goa,2005,71,257,1909368,13803082
Gujarat,2005,1188,5140,67616775,254373304
Haryana,2005,1527,3425,42714747,81885034
Himachal Pradesh,2005,136,691,4125018,22867849
Jammu & Kashmir,2005,209,1397,4920818,36077553
Jharkhand,2005,259,1600,2045450,39496852
Karnataka,2005,1688,5986,59175016,261321837
Kerala,2005,939,3914,18941597,187698662
Lakshadweep,2005,1,2,8410,20410
Madhya Pradesh,2005,3607,11192,43951572,154604344
Maharashtra,2005,4058,14735,99149466,619891309
Manipur,2005,3,62,95970,3075030
Meghalaya,2005,19,137,186546,1263497
Mizoram,2005,289,442,9467342,14738682
Nagaland,2005,17,93,545015,1278742
Odisha,2005,1308,3029,14704375,61917823
Puducherry,2005,42,67,1183747,2103597
Punjab,2005,922,1933,38668978,98977795
Rajasthan,2005,1657,5003,46405671,116980671
Sikkim,2005,13,79,150690,1518042
Tamil Nadu,2005,2568,3738,54017794,94231495
Tripura,2005,31,170,1295865,4725332
Uttar Pradesh,2005,853,3496,87349812,166454751
Uttarakhand,2005,99,489,1348660,12112071
West Bengal,2005,137,739,3379931,19919581
Andaman & Nicobar Islands,2006,25,82,888107,2605702
Andhra Pradesh,2006,3450,8169,142717661,310621897
Arunachal Pradesh,2006,87,257,2558587,12667956
Assam,2006,557,2911,9818045,35783913
Bihar,2006,362,3531,3180927,36841471
Chandigarh,2006,98,189,2923970,6810631
Chhattisgarh,2006,1070,3507,8717499,74386571
Dadra & Nagar Haveli,2006,12,41,971220,3752927
Daman & Diu,2006,8,60,1405190,6367320
Delhi,2006,893,1950,14994976,114401072
Goa,2006,48,230,3338956,18460149
Gujarat,2006,1405,5363,32600847,299427287
Haryana,2006,1760,3996,41950479,107827743
Himachal Pradesh,2006,136,732,6597727,31873315
Jammu & Kashmir,2006,189,1351,3765294,32683515
Jharkhand,2006,234,1428,2129927,21269610
Karnataka,2006,1775,5967,63562444,234363867
Kerala,2006,846,3948,26865098,237675908
Lakshadweep,2006,1,2,10000,28200
Madhya Pradesh,2006,3140,10729,35645450,175701398
Maharashtra,2006,4012,14723,99357595,688724735
Manipur,2006,0,55,0,3800658
Meghalaya,2006,27,140,290370,3771145
Mizoram,2006,269,408,3274525,15662205
Nagaland,2006,25,68,958091,42221157
Odisha,2006,1425,3118,17798514,84174508
Puducherry,2006,46,84,1104955,2477094
Punjab,2006,955,2277,25846606,115272477
